measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Global,Female,All ages,HIV/AIDS,Rate,1990,149.12873390115436,171.15931992624508,127.97872229587088
Prevalence,Global,Female,Age-standardized,HIV/AIDS,Rate,1990,146.735542249128,168.38734237529133,126.03971112249792
Prevalence,Global,Female,All ages,HIV/AIDS,Rate,1992,223.1354962353525,250.94637233142635,193.1301009513979
Prevalence,Global,Female,Age-standardized,HIV/AIDS,Rate,1992,218.70023920957135,245.9656514986573,189.67437986551997
Prevalence,Global,Female,All ages,HIV/AIDS,Rate,1991,185.38244409984165,209.95440451324552,159.87374674776206
Prevalence,Global,Female,Age-standardized,HIV/AIDS,Rate,1991,182.0318036181016,206.25221522588564,157.31591095524797
Prevalence,Global,Female,All ages,HIV/AIDS,Rate,1994,298.0950481080133,332.56104738790503,260.73618051255477
Prevalence,Global,Female,Age-standardized,HIV/AIDS,Rate,1994,291.21947656705197,324.6490810186889,255.07193731055304
Prevalence,Global,Female,All ages,HIV/AIDS,Rate,1995,333.77005053216396,369.9066250773785,294.484575328488
Prevalence,Global,Female,Age-standardized,HIV/AIDS,Rate,1995,325.6216110258442,360.3776206685528,288.0878245735267
Prevalence,Global,Female,All ages,HIV/AIDS,Rate,1993,260.97888234429973,292.7483558939581,227.34000703340612
Prevalence,Global,Female,Age-standardized,HIV/AIDS,Rate,1993,255.34379152960707,286.1830313175711,222.76274912154855
Prevalence,Global,Female,All ages,HIV/AIDS,Rate,1997,398.2260069252318,434.3610237303758,359.3437749880272
Prevalence,Global,Female,Age-standardized,HIV/AIDS,Rate,1997,387.822621816068,422.1375182378093,350.71653406494147
Prevalence,Global,Female,All ages,HIV/AIDS,Rate,1996,367.55235894751183,404.04410027188,328.02485675695016
Prevalence,Global,Female,Age-standardized,HIV/AIDS,Rate,1996,358.26830668885935,393.31926164121023,320.1302253669383
Prevalence,Global,Female,All ages,HIV/AIDS,Rate,2000,460.62210114940024,492.72417741631654,427.3517539543568
Prevalence,Global,Female,Age-standardized,HIV/AIDS,Rate,2000,447.42095378227594,477.61345003871435,416.6649496192992
Prevalence,Global,Female,All ages,HIV/AIDS,Rate,1998,424.3567508742712,459.8397322385844,387.02313306054594
Prevalence,Global,Female,Age-standardized,HIV/AIDS,Rate,1998,412.8995728597694,446.8568849237515,377.613074434972
Prevalence,Global,Female,All ages,HIV/AIDS,Rate,1999,445.2067121003014,478.96568526663594,409.5273524607768
Prevalence,Global,Female,Age-standardized,HIV/AIDS,Rate,1999,432.82493690943744,464.9917115099991,398.81072897271713
Prevalence,Global,Female,All ages,HIV/AIDS,Rate,2001,470.8731476775545,500.7817378885691,441.88002558823234
Prevalence,Global,Female,Age-standardized,HIV/AIDS,Rate,2001,457.1043650504627,485.22867937539394,429.8545069972061
Prevalence,Global,Female,All ages,HIV/AIDS,Rate,2002,476.4379797063546,503.6424920971344,451.59930738227234
Prevalence,Global,Female,Age-standardized,HIV/AIDS,Rate,2002,462.2110865951432,487.9493256946651,438.7943240388538
Prevalence,Global,Female,All ages,HIV/AIDS,Rate,2003,478.03083488107063,501.61195001782664,457.2033558200541
Prevalence,Global,Female,Age-standardized,HIV/AIDS,Rate,2003,463.46809744535705,485.7013493953788,443.570161162972
Prevalence,Global,Female,All ages,HIV/AIDS,Rate,2004,476.4969798343887,496.3088208100349,458.08537534164776
Prevalence,Global,Female,Age-standardized,HIV/AIDS,Rate,2004,461.78069139684766,481.0580952164673,444.1088314606226
Prevalence,Global,Female,All ages,HIV/AIDS,Rate,2005,472.85221118776786,490.1109143335047,456.068853654158
Prevalence,Global,Female,Age-standardized,HIV/AIDS,Rate,2005,458.0656817648964,475.0125597037352,441.4066145580489
Prevalence,Global,Female,All ages,HIV/AIDS,Rate,2007,464.5616498472267,484.4143749548739,447.2217067255808
Prevalence,Global,Female,Age-standardized,HIV/AIDS,Rate,2007,449.7918353227397,469.10879212068306,432.55925293757286
Prevalence,Global,Female,All ages,HIV/AIDS,Rate,2006,468.46766427283075,485.83899457969454,452.014296133633
Prevalence,Global,Female,Age-standardized,HIV/AIDS,Rate,2006,453.7079657766832,471.1971643054992,437.17817321705786
Prevalence,Global,Female,All ages,HIV/AIDS,Rate,2010,466.6965513117632,489.55930287062944,447.5801711521366
Prevalence,Global,Female,Age-standardized,HIV/AIDS,Rate,2010,451.6318298894067,473.7829390391888,433.1090012981274
Prevalence,Global,Female,All ages,HIV/AIDS,Rate,2008,462.97150937983497,484.9017777623964,443.950362072438
Prevalence,Global,Female,Age-standardized,HIV/AIDS,Rate,2008,448.1465181977851,469.6859244593937,429.7149910894436
Prevalence,Global,Female,All ages,HIV/AIDS,Rate,2009,463.86806991947793,486.6362253892612,444.75053297080143
Prevalence,Global,Female,Age-standardized,HIV/AIDS,Rate,2009,448.95506477662946,470.7490460865161,430.2966270428188
