measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Global,Male,All ages,HIV/AIDS,Number,1990,3867840.3495484684,4395466.319425226,3345710.215066605
Prevalence,Global,Female,All ages,HIV/AIDS,Number,1990,3961005.642430024,4546159.6450735675,3399240.5612517954
Prevalence,Global,Both,All ages,HIV/AIDS,Number,1990,7828845.991978493,8848630.56282989,6876622.7787158
Prevalence,Global,Male,All ages,HIV/AIDS,Percent,1990,0.0015041459324246908,0.0017124360482340937,0.001304048017303884
Prevalence,Global,Female,All ages,HIV/AIDS,Percent,1990,0.001531698124991589,0.0017603660846439123,0.0013159268947494855
Prevalence,Global,Both,All ages,HIV/AIDS,Percent,1990,0.0015179602349073584,0.0017153270006989136,0.001333815726857688
Prevalence,Global,Male,All ages,HIV/AIDS,Rate,1990,143.58574888603968,163.1727957054156,124.20272383840579
Prevalence,Global,Female,All ages,HIV/AIDS,Rate,1990,149.12873390115436,171.15931992624508,127.97872229587087
Prevalence,Global,Both,All ages,HIV/AIDS,Rate,1990,146.33773613454875,165.39967266979815,128.53866466649285
Prevalence,Global,Male,Age-standardized,HIV/AIDS,Percent,1990,0.0015362072239788538,0.0017451719650504619,0.0013370819595614947
Prevalence,Global,Female,Age-standardized,HIV/AIDS,Percent,1990,0.0015023623241893409,0.0017246321952904273,0.0012931962117467386
Prevalence,Global,Both,Age-standardized,HIV/AIDS,Percent,1990,0.0015185991589761112,0.0017145307331700632,0.001334217177788582
Prevalence,Global,Male,Age-standardized,HIV/AIDS,Rate,1990,147.5321971340137,167.28363345902562,127.96944826940079
Prevalence,Global,Female,Age-standardized,HIV/AIDS,Rate,1990,146.735542249128,168.38734237529133,126.03971112249792
Prevalence,Global,Both,Age-standardized,HIV/AIDS,Rate,1990,147.05985267464143,165.96401868589749,129.30610297469335
Prevalence,Global,Male,All ages,Sexually transmitted infections excluding HIV,Number,1990,271388619.1295469,308047068.28377426,237818594.11487052
Prevalence,Global,Female,All ages,Sexually transmitted infections excluding HIV,Number,1990,474190112.214084,522360622.00995445,427087926.63665044
Prevalence,Global,Both,All ages,Sexually transmitted infections excluding HIV,Number,1990,745578731.3436311,831888466.0750097,666802119.630457
Prevalence,Global,Male,All ages,Sexually transmitted infections excluding HIV,Percent,1990,0.10553903984029295,0.11969081384510812,0.09243814898673146
Prevalence,Global,Female,All ages,Sexually transmitted infections excluding HIV,Percent,1990,0.18336653513147355,0.20202648910144116,0.16506035363805194
Prevalence,Global,Both,All ages,Sexually transmitted infections excluding HIV,Percent,1990,0.1445627656962453,0.16122175360533106,0.12913492957482253
Prevalence,Global,Male,All ages,Sexually transmitted infections excluding HIV,Rate,1990,10074.753504604514,11435.62427462609,8828.534233320966
Prevalence,Global,Female,All ages,Sexually transmitted infections excluding HIV,Rate,1990,17852.88319345835,19666.464840573666,16079.523109368549
Prevalence,Global,Both,All ages,Sexually transmitted infections excluding HIV,Rate,1990,13936.447819600387,15549.759819849796,12463.945865893807
Prevalence,Global,Male,Age-standardized,Sexually transmitted infections excluding HIV,Percent,1990,0.11759105469820173,0.1335449439599962,0.10309758271789322
Prevalence,Global,Female,Age-standardized,Sexually transmitted infections excluding HIV,Percent,1990,0.19902391467952124,0.21918040947876052,0.17942336632326814
Prevalence,Global,Both,Age-standardized,Sexually transmitted infections excluding HIV,Percent,1990,0.15889232550021518,0.17726931860594927,0.14224597479605713
Prevalence,Global,Male,Age-standardized,Sexually transmitted infections excluding HIV,Rate,1990,11293.066478760673,12824.477598614356,9902.428799070783
Prevalence,Global,Female,Age-standardized,Sexually transmitted infections excluding HIV,Rate,1990,19438.655826055303,21408.403517251198,17506.51042527697
Prevalence,Global,Both,Age-standardized,Sexually transmitted infections excluding HIV,Rate,1990,15387.002898265728,17176.277707525598,13784.513715515692
Prevalence,Global,Male,All ages,Sexually transmitted infections excluding HIV,Number,1991,279423163.4715236,316254129.97834426,245180482.6704156
Prevalence,Global,Female,All ages,Sexually transmitted infections excluding HIV,Number,1991,487830759.4271782,536782993.0146582,440002830.7600525
Prevalence,Global,Both,All ages,Sexually transmitted infections excluding HIV,Number,1991,767253922.8987015,854368910.3463069,687217704.5886317
Prevalence,Global,Male,All ages,Sexually transmitted infections excluding HIV,Percent,1991,0.10702209970986397,0.12125582259750442,0.09380865156057093
Prevalence,Global,Female,All ages,Sexually transmitted infections excluding HIV,Percent,1991,0.18588137542258373,0.20465420347516491,0.16754668184022628
Prevalence,Global,Both,All ages,Sexually transmitted infections excluding HIV,Percent,1991,0.14655365572311777,0.16308810021465772,0.13110073480253992
