"measure","location","sex","age","cause","metric","year","val","upper","lower"
"Incidence","Global","Both","All ages","Chlamydial infection","Number",1990,151695680,199144008,113998556
"Incidence","Global","Both","All ages","Chlamydial infection","Number",1991,155078853,203406822,116448728
"Incidence","Global","Both","All ages","Chlamydial infection","Number",1992,158523741,207940501,118905525
"Incidence","Global","Both","All ages","Chlamydial infection","Number",1993,162061947,212648024,121521173
"Incidence","Global","Both","All ages","Chlamydial infection","Number",1994,165601366,217022172,123993756
"Incidence","Global","Both","All ages","Chlamydial infection","Number",1995,169208393,221727821,126721836
"Incidence","Global","Both","All ages","Chlamydial infection","Number",1996,173773721,227758422,130076904
"Incidence","Global","Both","All ages","Chlamydial infection","Number",1997,179817645,235519494,134580425
"Incidence","Global","Both","All ages","Chlamydial infection","Number",1998,186347490,243916615,139720188
"Incidence","Global","Both","All ages","Chlamydial infection","Number",1999,192201976,251455264,144131482
"Incidence","Global","Both","All ages","Chlamydial infection","Number",2000,196503594,257057532,147491992
"Incidence","Global","Both","All ages","Chlamydial infection","Number",2001,199298761,260246384,149630944
"Incidence","Global","Both","All ages","Chlamydial infection","Number",2002,201851782,263088322,151759886
"Incidence","Global","Both","All ages","Chlamydial infection","Number",2003,204246526,265996949,153785039
"Incidence","Global","Both","All ages","Chlamydial infection","Number",2004,206486982,267828663,155856044
"Incidence","Global","Both","All ages","Chlamydial infection","Number",2005,208819022,270723120,157991360
"Incidence","Global","Both","All ages","Chlamydial infection","Number",2006,209413912,271459945,158081999
"Incidence","Global","Both","All ages","Chlamydial infection","Number",2007,207623936,270154024,156453856
"Incidence","Global","Both","All ages","Chlamydial infection","Number",2008,204928755,268124171,154336491
"Incidence","Global","Both","All ages","Chlamydial infection","Number",2009,202938113,266251135,153011511
"Incidence","Global","Both","All ages","Chlamydial infection","Number",2010,203604612,266802265,153532169
"Incidence","Global","Both","All ages","Chlamydial infection","Number",2011,206237095,270113926,155356075
"Incidence","Global","Both","All ages","Chlamydial infection","Number",2012,208891014,273620748,157345626
"Incidence","Global","Both","All ages","Chlamydial infection","Number",2013,211464610,276699931,159365787
"Incidence","Global","Both","All ages","Chlamydial infection","Number",2014,213879006,279524446,161083527
"Incidence","Global","Both","All ages","Chlamydial infection","Number",2015,216110516,282019034,162681432
"Incidence","Global","Both","All ages","Chlamydial infection","Number",2016,218050695,284209748,164060836
"Incidence","Global","Both","All ages","Chlamydial infection","Number",2017,219856063,286391440,165555823
"Incidence","Global","Both","All ages","Chlamydial infection","Number",2018,224496690,291701998,168544810
"Incidence","Global","Both","All ages","Chlamydial infection","Number",2019,232534841,303009114,174269191
"Incidence","Global","Female","All ages","Chlamydial infection","Number",1990,67716181,88169743,51485411
"Incidence","Global","Female","All ages","Chlamydial infection","Number",1991,69086799,90020175,52521639
"Incidence","Global","Female","All ages","Chlamydial infection","Number",1992,70469805,91848197,53544780
"Incidence","Global","Female","All ages","Chlamydial infection","Number",1993,71903264,93807088,54577224
"Incidence","Global","Female","All ages","Chlamydial infection","Number",1994,73380654,95790294,55645515
"Incidence","Global","Female","All ages","Chlamydial infection","Number",1995,74916137,97705238,56751709
"Incidence","Global","Female","All ages","Chlamydial infection","Number",1996,76956975,100376413,58289930
"Incidence","Global","Female","All ages","Chlamydial infection","Number",1997,79734747,103945754,60448671
"Incidence","Global","Female","All ages","Chlamydial infection","Number",1998,82796473,107792046,62837129
"Incidence","Global","Female","All ages","Chlamydial infection","Number",1999,85603981,111223307,65042983
"Incidence","Global","Female","All ages","Chlamydial infection","Number",2000,87686643,113678331,66686781
"Incidence","Global","Female","All ages","Chlamydial infection","Number",2001,89091453,115372877,67904984
"Incidence","Global","Female","All ages","Chlamydial infection","Number",2002,90424724,116951358,69063692
"Incidence","Global","Female","All ages","Chlamydial infection","Number",2003,91706059,118488226,70048419
