measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Poland,Male,All ages,Stomach cancer,Number,1990,5509.07069,5632.650389,5361.977557
Deaths,Poland,Female,All ages,Stomach cancer,Number,1990,3200.395803,3308.552345,3012.051825
Deaths,Poland,Both,All ages,Stomach cancer,Number,1990,8709.466493,8931.719298,8412.063948
Deaths,Poland,Male,All ages,Stomach cancer,Rate,1990,29.66064694,30.32599579,28.86870258
Deaths,Poland,Female,All ages,Stomach cancer,Rate,1990,16.34177622,16.89404229,15.38005919
Deaths,Poland,Both,All ages,Stomach cancer,Rate,1990,22.82486136,23.40731832,22.04545979
Deaths,Poland,Male,Age-standardized,Stomach cancer,Rate,1990,31.75915659,32.50236264,30.78020759
Deaths,Poland,Female,Age-standardized,Stomach cancer,Rate,1990,12.3165298,12.7299754,11.60115285
Deaths,Poland,Both,Age-standardized,Stomach cancer,Rate,1990,20.1783763,20.71372586,19.41566831
Deaths,Timor-Leste,Male,All ages,Stomach cancer,Number,1990,14.32764965,19.16081064,9.010523993
Deaths,Timor-Leste,Female,All ages,Stomach cancer,Number,1990,14.68622374,18.960676,10.66683296
Deaths,Timor-Leste,Both,All ages,Stomach cancer,Number,1990,29.0138734,37.16483749,21.24497864
Deaths,Timor-Leste,Male,All ages,Stomach cancer,Rate,1990,3.547936879,4.744766123,2.231264105
Deaths,Timor-Leste,Female,All ages,Stomach cancer,Rate,1990,3.873642315,5.00107299,2.813486723
Deaths,Timor-Leste,Both,All ages,Stomach cancer,Rate,1990,3.705652462,4.746693751,2.713409076
Deaths,Timor-Leste,Male,Age-standardized,Stomach cancer,Rate,1990,10.82968089,14.08155903,6.7037081
Deaths,Timor-Leste,Female,Age-standardized,Stomach cancer,Rate,1990,10.61651175,13.38045732,7.929410138
Deaths,Timor-Leste,Both,Age-standardized,Stomach cancer,Rate,1990,10.68552784,13.29334499,8.03961395
Deaths,Georgia,Male,All ages,Stomach cancer,Number,1990,691.186434,768.8480553,618.7814764
Deaths,Georgia,Female,All ages,Stomach cancer,Number,1990,503.1282492,554.6826899,454.5472927
Deaths,Georgia,Both,All ages,Stomach cancer,Number,1990,1194.314683,1304.719774,1091.283652
Deaths,Georgia,Male,All ages,Stomach cancer,Rate,1990,26.42886348,29.39840728,23.66031849
Deaths,Georgia,Female,All ages,Stomach cancer,Rate,1990,17.38952345,19.17138952,15.71042934
Deaths,Georgia,Both,All ages,Stomach cancer,Rate,1990,21.68108915,23.68533697,19.81070691
Deaths,Georgia,Male,Age-standardized,Stomach cancer,Rate,1990,27.89189301,30.98825513,25.00264563
Deaths,Georgia,Female,Age-standardized,Stomach cancer,Rate,1990,13.70934783,15.02034772,12.39790103
Deaths,Georgia,Both,Age-standardized,Stomach cancer,Rate,1990,19.45634452,21.19208625,17.81939844
Deaths,China,Male,All ages,Stomach cancer,Number,1990,197055.9585,232161.773,161816.9678
Deaths,China,Female,All ages,Stomach cancer,Number,1990,108410.5732,126296.5335,90423.02142
Deaths,China,Both,All ages,Stomach cancer,Number,1990,305466.5317,345401.7265,267210.1304
Deaths,China,Male,All ages,Stomach cancer,Rate,1990,32.29436005,38.04764873,26.5192459
Deaths,China,Female,All ages,Stomach cancer,Rate,1990,18.9034883,22.02225274,15.7670094
Deaths,China,Both,All ages,Stomach cancer,Rate,1990,25.80646969,29.18028085,22.57448661
Deaths,China,Male,Age-standardized,Stomach cancer,Rate,1990,51.36469088,59.9369682,42.95608027
Deaths,China,Female,Age-standardized,Stomach cancer,Rate,1990,26.16733022,30.36806602,21.94139448
